 Extraction du patron NOM+ADJ 

mobilisations algériennes
tunnel Lyon-Turin
élections municipales
Légion d’honneur
condamnation pénale
l’affaire dite
gilets jaunes
gilets jaunes
manifestants présents
secrétaire d’Etat
pari mutuel
club phocéen
technicien portugais
holding financière
état d’alerte
partis souverainistes
l’Union européenne
… certains
d’extrême droite
percée historique
Parlement européen
Jeux vidéo
d’étude universitaire
jeu vidéo
syndicat professionnel
pans entiers
secteur automobile
président américain
tarifs douaniers
l’Union européenne
proximités culturelles
Parti travailliste
l’instabilité croissantes
face sombre
miracle économique
échanges européens
L’avis définitif
homme tétraplégique
état végétatif
clubs français
Arrestation d’un
réconciliation politique
l’organisation séparatiste
réponse favorable
l’enseignement supérieur
gilets jaunes
réseaux sociaux
moue congénitale
corps enseignant
usage unique
d’une directive
Coton-Tige …
décision populaire
état végétatif
l’extrême droite
villes allemandes
l’aile gauche
syndicat étudiant
représentants issus
Cinéma français
jeux vidéo
l’imagerie vidéoludique
construction européenne
dirigeants eurosceptiques
insuffisance cardiaque
l’heure brésilienne
directeur sportif
poste d’entraîneur
ministre nationaliste
jacinthes d’eau
plante aquatique
voix républicaine
président américain
cour d’assises
l’homicide involontaire
violences conjugales
Palme d’or
président manageur
crise actuelle
sciences politiques
blessés sud-africains
l’extrême droite
informations essentielles
élection intermédiaire
élections européennes
étape d’un
Commission européenne
rage antisystème
crise 6|6
Constitution européenne
clivage gauche-droite
volonté populaire
risque d’un
chancelière allemande
djihadiste français
coup dur
enjeux planétaires
rôle politique
vétéran français
volet capitalistique
L’Etat français
motivations religieuses
coût social
coût social
prix d’achat
jusqu’aux finales
gouvernement allemand
suspect recherché
moment décisif
négociations commerciales
président américain
échanges commerciaux
sex opera
Société générale
Société générale
membres étrangers
l’Etat islamique
moment crucial
incarnation présidentielle
gardien marseillais
salariée d’hypermarché
téléphonie chinoise
sécurité nationale
culture générale
applications spécifiques
chef d’état-major
l’élection présidentielle
système politique
pilote autrichien
compagnies aériennes
lance Mémorable
conquête spatiale
culture générale
élections européennes
c’est qu’il
aménagements légaux
route migratoire
guerre civile
sévices qu’y
perspectives économiques
Commission européenne
d’une interne
entraîneur allemand
armées syrienne
l’hôpital parisien
handicapés mentaux
chanteuse belge
an ferme
marché mondial
jeunes Macédoniens
pontife s’est
référendum d’initiative
décision historique
cession d’Aéroports
loi censé
presse prise
l'extrême droite
mouvements politiques
repli identitaire
serial redresseur
agressions sexuelles
d’agression sexuelle
pensée houellebecquienne
livraison d’armes
l’Arabie saoudite
armes françaises
navire saoudien
régularisation massive
euros net
pouvoir militaire
arrestations spectaculaires
personnalités indépendantes
60e anniversaire
chef d’entreprise
réduction d’effectifs
centre-ville l’engin
pièges mortels
l’hydratation artificielles
monde féminine
match amical
passion américaine
date l’entretien
Pliskova s’en
dette italienne
Commission européenne
finances publiques
déficit excessif
Révision constitutionnelle
années 2000.
torture psychologique
campagne implacable
espaces verts
l’Arabie saoudite
royaume saoudien
chefs d’Etat
gouvernement présents
communiqués issus
arsenal législatif
organisations indésirables
l’objet d’un
l’assemblée générale
réseau social
zones humides
dérèglement climatique
élection …
président américain
fait qu’il
l’interférence russe
blessés légers
seuil électoral
listes supplémentaires
Parlement européen
d’équipement sportif
plate-forme collaborative
agent sucrant
décisions relatives
dépenses publiques
place officielle
Parlement britannique
L’Etat chinois
l’urgence climatique
projets expérimentaux
réchauffement climatique
agressions sexuelles
phase terminale
naufrage d’un
touristes sud-coréens
d’équipage hongrois
spectre d’un
pression américaine
foot juifs
identité juive
réduction globale
guerre russo-syrienne
province rebelle
l’armée syrienne
million d’espèces
d’emploi fictif
Parlement européen
d’usage irrégulier
finance professionnels
qu’aucun autre
contribuable américain
documents fiscaux
l’homme d’affaires
chargement d’armes
cargo saoudien
l’Arabie saoudite
génération d’internes
trajet politique
coalition incontournable
années paires
années impaires
enjeu géopolitique
réseau 5G
enjeux économiques
jeunes majeurs
associations d’anciens
l’arrestation brutale
d’une Américaine
rituel présidentiel
résultats officiels
coup d’Etat
ministre démissionnaire
l’idée européenne
partis europhobes
l’Union européenne
partis europhobes
programme l’idée
terrains potentiels
l’énergie solaire
parc photovoltaïque
élection intermédiaire
justice américaine
soirée électorale
groupe public
élections européennes
élections climatiques
efforts politiques
l’urgence climatique
indemnités prud’homales
licenciement abusif
ministère public
infos scientifiques
île flottante
Voie lactée
société bulgare
partis nationalistes
coalition gouvernementale
victimes collatérales
fonction publique
l’Union européenne
durée indéterminée
autorités mondiales
l’aviation civile
catastrophes aériennes
jeunesse identitaire
partis d’extrême
comptes publics
conséquences sanitaires
essais nucléaires
dissuasion nucléaire
élections européennes
climat surréaliste
partis traditionnels
article sensible
commande publique
maison mère
scrutin européen
Pour certains
défense écologique
corruption active
information judiciaire
Données personnelles
pratiques publicitaires
L’autorité irlandaise
données personnelles
enquête lacunaire
violences policières
Convention européenne
groupe français
groupes djihadistes
frontière afghano-tadjike
victoire écrasante
chambre basse
carte secrète
projet secret
Réunion cruciale
catastrophes d’Ethiopian
mort d’un
l’extrême droite
départ d’Irak
employés d’ambassade
porte-parole britannique
coalition internationale
posture iranienne
Manifestations nationales
coupes budgétaires
universités fédérales
presse commune
chaîne publique
dégradation sécuritaire
affaires étrangères
traité environnemental
révolution juridique
perte probable
l’aéroport londonien
privatisation d’ex-Aéroports
changement climatique
monde viticole
conséquences positives
cibles d’émeutiers
émeutiers chrétiens
tension croissante
attentats djihadistes
championnat espagnol
militaires français
opération extérieure
opération extérieure
d’une violente
embuscade d’individus
décision emblématique
comité central
droit d’alerte
orientations stratégiques
niveau international
situation économique
carte politique
camp loyaliste
prêtre catholique
d’otages français
moyen pragmatique
projet professionnel
l’endettement étudiant
Elections européennes
alliés ont-ils
promesses d’il
Commission européenne
partis européens
fille facile
fans s’en
fichage illégal
enquête préliminaire
roman mexicain
vérité d’un
Histoire d’un
justice mexicaine
l’orgasme féminin
l’actrice américaine
voyage triomphal
cursus sociaux
présence magnétique
d’une nouvelle
version d’«
40e anniversaire
catcheur mexicain
l’Eglise maronite
l’occupation syrienne
communauté maronite
guerre civile
l’occupation syrienne
d’art contemporain
pavillon français
Elections européennes
alliés …
listes françaises
informations essentielles
gilets jaunes
robes noires
profils hétéroclites
guerre commerciale
mesures américaines
produits américains
Direction générale
sécurité intérieure
sous-direction antiterroriste
étude scientifique
lundi –
justice suédoise
constructeur français
d’être majeur
Pari réussi
risques qu’ils
d’extrême droite
star hollywoodienne
tube planétaire
secrétaire général
loi relative
dialogue social
l’Afrique francophone
surprises spectaculaires
millésime exceptionnel
l’accord international
affaires étrangères
sanctions américaines
départs volontaires
réseau intérieur
négociation obligatoire
négociations annuelles
Rassemblement national
Parlement européen
part belle
sites pétroliers
l’Arabie saoudite
oléoduc important
mission internationale
sac plastique
contamination humaine
densité carcérale
établissements pénitentiaires
L’Etat hébreu
l’événement international
développement économique
filiale transalpine
société civile
Congrès mondial
sommet parallèle
conséquences sociales
ouvrages hydroélectriques
sélection officielle
marque chinoise
modèles haut
vélo électrique
plaintes pénales
succès populaire
régime dictatorial
magistrats financiers
stimulation sensorielle
fois auditive
thérapeutique énorme
espion israélien
série noire
cinéma français
production cinématographique
une politique
puissance publique
téléphonie chinois
enjeu discret
questions agricoles
scrutin européen
inspection générale
lutte antidopage
Agression transphobe
prison ferme
l’ex-président algérien
services publics
conception innovante
l’invention d’un
crise 3|6
table rase
système italien
Elections européennes
dessin nazi
d’extrême droite
l’hypocrisie française
internes formés
groupe allemand
concurrents chinois
rupture qu’elle
repreneur d’Ascoval
